region,per_capita,real_incomes,formal_wage,real_pay,child_mortality,disabled,alco,drug,gross_regional_product,living_area,bad_conditions,no_funds,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,population,reg_prod_total,retail,welfare,crime_rate,crime_growth_rate,serious_crimes,сrime_geography,life_expectancy,employment_rate,busy_retired,below_the_subsistence_level,poor_elderly,coverage_of_the_elderly,leisure_attendance,children_%,poor_children,poor_employable,poor_retired,cluster
Чеченская Республика,23330.5,99.1,25364.0,88.2,369.0,135625.3,3.55,0.70000005,124347.6,19.2,0.6,0.5539,56308.0,107.8,138.3,1.0,1271048.8,73590426.2,110248.0,27.3,103.8,-0.7,0.25,0.00101,15.2,31.4,64.05,29.0,19.35,11993.0,37.35,42,92204,105708,13082,2
Республика Ингушетия,16064.2,98.2,24857.3,85.1,122.6,42026.5,0.1,1.95,114423.7,27.8,0.0,0.0,67861.8,45.1,95.0,0.0,443265.4,10038200.3,47648.0,25.8,163.4,3.1,0.235,0.00054,21.4,36.55,54.650000000000006,21.7,9.0,2068.0,46.0,37,85286,114835,23728,2
Кабардино-Балкарская Республика,20569.7,98.8,24720.2,88.3,130.3,30001.3,52.85,10.3,158583.5,18.9,0.5,0.0,45707.2,95.8,253.5,4.1,869256.5,87531036.5,145186.0,22.9,595.7,0.6,0.239,0.00353,19.55,26.05,65.6,19.35,22.6,10817.5,39.7,25,91434,146193,17064,2
Республика Дагестан,26623.3,97.9,24190.2,90.1,698.6,216245.0,14.85,9.6,186556.2,22.5,0.8,1.2,79789.4,208.2,360.3,0.0,2832146.3,141726222.2,189148.0,25.2,282.4,-0.6,0.244,0.0059,18.5,24.0,30.5,16.8,13.15,15800.0,35.45,31,334091,494595,43615,1
Республика Тыва,16124.2,100.8,34826.2,90.5,136.4,14097.8,77.100006,12.45,176767.1,13.6,8.5,6.3744000000000005,63618.4,342.0,291.9,5.2,311817.0,56507837.7,71063.0,20.4,2058.4,2.5,0.268,0.00452,14.5,22.3,21.85,13.9,22.6,2521.5,37.0,38,63564,74017,3673,2
Карачаево-Черкесская Республика,18200.2,96.5,24490.8,89.0,71.4,29489.7,26.6,5.7,158584.9,18.3,2.6,1.9829,66186.2,114.7,217.0,0.0,460228.5,86516981.2,81168.0,20.8,780.9,5.1,0.205,0.00251,17.799999999999997,19.05,29.4,11.65,2.9,7322.5,43.75,24,40139,95258,10035,2
Еврейская автономная область,24975.5,96.7,37558.2,91.5,46.1,5092.7,102.95,69.2,293728.4,13.8,0.9,0.0,68677.5,675.8,588.9,13.8,175942.2,47345470.4,144836.0,24.8,1420.8,0.5,0.266,0.00159,15.35,23.7,18.2,10.4,25.35,8480.0,42.75,20,13593,21248,4218,3
Республика Северная Осетия-Алания,23077.5,98.0,25829.3,90.9,102.1,26678.5,44.35,7.2,195909.2,16.4,2.6,0.0,71479.8,551.5,225.5,3.4,703707.3,64881191.3,154792.0,21.4,761.9,3.6,0.17,0.00368,18.05,21.55,22.95,9.3,23.15,15233.5,38.95,22,53876,90413,10527,2
Республика Алтай,19304.2,100.0,29151.8,88.4,59.6,8494.8,70.95,7.35,205304.8,14.4,4.8,0.4675999999999998,89430.0,289.3,317.7,13.3,209046.4,19113418.3,116796.0,17.3,2392.4,-1.1,0.151,0.00355,12.85,20.0,36.55,8.3,21.85,9914.5,25.05,30,30605,36176,1995,3
Забайкальский край,23932.7,98.6,38373.5,90.1,214.3,32195.2,75.399994,9.5,264928.3,17.1,1.8,1.5903,67720.0,219.6,512.4,23.3,1111500.1,376505366.2,148511.0,23.0,2188.5,-4.9,0.24,0.01606,15.45,14.75,21.5,7.65,36.1,5040.5,31.35,23,127707,226737,27530,0
