region,per_capita,real_incomes,formal_wage,real_pay,child_mortality,disabled,alco,drug,gross_regional_product,living_area,bad_conditions,no_funds,general_morbidity,congenital_malformation,psychosis,teenage_pregnancy,newborn,population,poverty_percent,the_poor: children,the_poor: retired,the_poor: employable,reg_prod_total,retail,welfare,crime_rate,crime_growth_rate,serious_crimes,сrime_geography,children,life_expectancy,employment_rate,busy_retired,below_the_subsistence_level,poor_elderly,coverage_of_the_elderly,leisure_attendance
Республика Марий Эл,19778.3,98.0,26877.5,92.7,87.0,21943.2,74.95,3.2,233471.7,16.5,1.8,1.8518,92493.8,169.8,534.7,6.0,8509.8,703025.0,35.1,32.8,5.8,61.5,343514388.8,122354.0,20.7,884.0,-3.9,0.209,0.00412,146926.0,16.5,18.4,22.299999999999997,2.6,14.350000000000001,6200.0,42.4
Республика Мордовия,18784.2,99.1,26038.0,94.8,76.7,25393.5,67.45,3.6000001,247903.5,20.0,0.1,0.0,67150.4,192.4,753.6,7.8,7377.2,841692.0,29.6,26.8,12.1,61.2,434236218.9,109921.0,18.4,982.6,-2.1,0.173,0.00542,135872.0,17.3,18.3,22.05,1.65,14.35,2008.5,31.8
Республика Саха (Якутия),41844.8,100.4,65881.3,95.6,199.1,28345.3,133.95,3.0,863739.7,16.5,5.2,1.9349999999999998,103609.7,267.9,489.1,19.6,15041.3,961146.3,21.7,44.2,5.1,50.7,1777787629.2,219827.0,14.3,1237.8,-0.5,0.226,0.00816,267183.0,18.0,34.150000000000006,20.549999999999997,6.0,9.65,4556.5,55.95
Республика Северная Осетия-Алания,23077.5,98.0,25829.3,90.9,102.1,26678.5,44.35,7.2,195909.2,16.4,2.6,0.0,71479.8,551.5,225.5,3.4,9634.0,703707.3,22.0,34.8,6.8,58.4,64881191.3,154792.0,21.4,761.9,3.6,0.17,0.00368,158186.0,18.05,21.55,22.95,9.3,23.15,15233.5,38.95
Республика Татарстан,33778.3,98.4,34007.7,91.3,447.3,109575.2,50.65,9.9,522004.7,16.2,0.7,2.175,79905.3,159.1,361.0,42.7,48107.2,3818847.6,13.4,42.0,7.3,50.7,5312147104.9,223452.0,12.0,907.9,-2.9,0.209,0.02409,835883.0,18.549999999999997,16.8,27.25,1.25,0.15000000000000002,3842.0,50.25
Республика Тыва,16124.2,100.8,34826.2,90.5,136.4,14097.8,77.100006,12.45,176767.1,13.6,8.5,6.3744000000000005,63618.4,342.0,291.9,5.2,7402.3,311817.0,45.3,45.0,2.6,52.4,56507837.7,71063.0,20.4,2058.4,2.5,0.268,0.00452,120018.0,14.5,22.3,21.85,13.9,22.6,2521.5,37.0
Республика Хакасия,21181.5,99.5,36441.7,91.3,97.9,12022.3,78.35,16.5,356057.4,17.9,1.0,0.0,84791.0,285.4,358.0,18.4,7218.2,538262.6,24.2,43.2,2.4,54.3,435210885.0,150800.0,20.2,2122.1,-3.3,0.15,0.00778,129574.0,18.4,16.9,25.25,5.25,17.85,2106.0,34.95
Ростовская область,28582.5,99.5,30170.7,91.3,551.4,166233.0,30.150002,10.15,293898.6,18.2,0.8,0.8280000000000001,80601.6,99.0,285.5,38.9,44723.4,4297288.4,18.9,43.9,1.6,54.5,2144711159.3,211610.0,24.0,889.0,-2.7,0.189,0.02567,795692.0,18.15,18.55,25.65,3.35,26.65,9523.0,37.0
Рязанская область,25233.3,97.3,30737.5,90.0,120.4,40961.5,54.9,17.150002,305064.8,19.0,0.3,0.138,69944.1,224.7,462.4,1.4,11123.4,1169859.0,21.3,37.0,3.3,59.7,719032061.6,167230.0,19.9,700.5,-4.4,0.228,0.00537,195992.0,16.05,17.65,13.100000000000001,2.05,30.55,6982.0,32.7
Самарская область,28243.0,96.2,32428.2,89.9,294.8,83030.0,47.85,10.6,405392.0,16.9,0.8,0.71,100452.7,339.0,515.5,10.0,35355.6,3218552.5,17.6,36.9,9.5,53.6,3140224565.4,200479.0,22.2,1101.2,-3.3,0.2,0.02404,609572.0,18.65,24.8,14.65,2.0,21.3,10206.0,39.45
Санкт-Петербург,43499.0,101.1,56931.7,92.5,413.8,120839.7,15.65,9.549999,693709.2,15.7,0.1,0.4815,97324.2,242.3,413.3,9.0,58192.0,4974375.8,13.9,25.7,9.8,64.6,5654678872.5,251650.0,15.7,482.0,-1.9,0.308,0.01745,922035.0,16.45,26.450000000000003,7.25,0.05,4.05,12550.5,59.45
Саратовская область,21397.5,99.1,26983.2,89.4,309.3,54962.8,51.6,5.75,263612.6,17.8,2.2,0.4921000000000001,74971.0,467.3,488.0,4.2,25248.3,2545948.9,24.0,39.0,2.5,58.5,1090242521.2,141273.0,25.1,886.9,-0.7,0.209,0.015,454760.0,19.35,12.399999999999999,28.25,2.85,42.05,13822.0,23.55
Сахалинская область,53568.3,101.2,75366.8,99.8,68.2,9658.8,109.6,19.099998,1736894.9,17.2,0.6,0.0,82027.2,245.8,563.0,34.5,6156.7,512576.3,18.9,44.9,12.1,43.0,1859149842.8,294623.0,13.0,1528.4,-1.5,0.191,0.0051,92696.0,18.4,34.3,17.7,1.85,24.35,5039.5,43.6
Свердловская область,36207.3,96.9,36702.8,89.9,493.0,104398.7,52.5,14.25,455777.9,15.8,0.9,0.7248,74009.7,95.1,443.3,11.0,54376.5,4371458.5,15.9,46.3,2.2,51.5,4706517492.3,252215.0,21.2,1221.7,-4.1,0.215,0.03606,921681.0,18.5,17.799999999999997,12.4,1.75,26.75,14698.0,38.25
Севастополь,26865.8,109.8,29421.5,0.0,19.4,7732.8,82.3,27.15,152156.8,13.7,1.2,0.0,51587.8,104.3,439.0,24.0,2051.1,450632.2,21.1,45.2,2.1,52.7,51775355.0,138726.0,12.8,693.5,-1.0,0.243,0.00202,94106.0,20.75,22.8,21.45,2.05,5.15,1489.5,52.65
Смоленская область,25576.8,98.8,28106.8,90.8,105.8,28491.8,69.600006,7.1,287071.7,19.4,2.8,0.0,70297.7,318.4,306.0,1.7,9159.1,998553.7,19.4,34.7,12.0,53.3,548340956.4,171163.0,22.9,1067.0,-2.8,0.204,0.00694,160864.0,17.7,19.1,13.75,4.45,30.45,5882.5,28.0
